,Valve,Ventricle,Atrium,Heart,Adipose,Adipocyte,Osteoblast,Stromal cell,Chondrocyte,Bone marrow,Intestinal epithelial cell,Hepatic stellate cell,Small intestine,Liver,Colon,Colon mucosa,Hepatocyte,Esophagus,Beta cell,Gastric epithelial cell,Alpha cell,Pancreatic islet,Macrophage,Dendritic cell,Kupffer cell,Microglia,Neutrophil,Thymocyte,Plasmacytoid dendritic cell,Granulocyte,Spleen,Thymus,Blymphocyte,Tlymphocyte,Plasma cell,Skin,Fibroblast,Hair follicle,Melanocyte,Basal cell,Keratinocyte,Airway smooth muscle,Skeletal muscle,Vascular smooth muscle,Myofibroblast,Myoblast,Spinal cord,Cerebellum,Medulla,Thalamus,Hypothalamus,Pons,Retina,Cerebral cortex,Sensory neuron,Astrocyte,Motor neuron,Neuron,Oligodendrocyte,Midbrain,Lung,Lung epithelial cell,Trachea,Renal cortex,Ovary,Kidney,Granulosa,Testis,Podocyte,Oocyte,Breast,Mammary gland
CNRIP1,9.48728,7.2636,6.74922,7.9722,8.22586,8.21748,8.78839,8.57321,9.25345,2.77595,1.20968,8.50395,5.23546,5.15699,3.83218,4.45612,2.61696,0.113644,6.33632,4.49014,6.9462,0.113644,6.93534,5.25971,5.95125,7.17515,2.41968,0.113644,2.41968,3.1737,1.20968,1.81287,0.113644,0.113644,0.113644,7.00978,8.51328,7.70311,8.1891,2.61696,1.81287,8.7545,7.00978,7.95551,8.78718,7.90918,7.99248,9.24017,4.13876,8.8032,8.94437,2.41968,8.65534,8.09102,10.0954,7.32318,8.30694,8.29015,7.26685,9.6345,4.21911,3.83218,0.113644,4.82627,6.01703,6.09783,8.0026,2.92457,6.67736,8.96603,0.113644,0.113644
COL15A1,11.7711,10.9276,9.4833,8.82663,10.1582,10.8608,5.67402,6.35762,10.1338,2.92457,3.39116,7.84657,7.90918,3.83218,3.83218,5.1825,3.48123,5.15699,3.05618,3.30406,2.92457,6.68963,4.26947,3.83218,4.50253,5.34282,3.05618,3.83218,3.11494,3.48123,3.76961,3.76961,3.39116,3.39116,0.113644,8.38486,7.243,8.86384,5.79561,2.77595,2.61696,9.85343,10.7478,9.74156,7.48605,6.8453,5.76006,3.70787,5.61274,3.89584,4.00388,3.1737,3.1737,4.1115,5.47412,4.43111,3.89584,4.31312,4.43111,3.9543,4.56034,3.05618,2.92457,8.63073,7.26073,3.28517,5.15699,7.59373,3.9543,5.04875,3.1737,2.77595
COL1A2,14.6541,12.1968,11.6482,13.588,13.6263,15.7616,17.4412,16.3707,15.0373,4.84279,4.47319,17.4412,12.1786,9.57864,9.4772,11.401,7.62057,8.08543,6.69947,1.81287,6.16133,7.96365,3.70787,3.28517,11.4838,7.70909,2.77595,6.4358,3.39116,4.29129,4.59911,4.84279,4.53781,3.28517,4.38682,14.5779,16.1368,14.8916,10.7942,4.38682,5.04875,17.1051,11.2209,17.4412,16.1368,15.5435,9.10425,5.91845,8.86276,7.29945,10.0895,4.43111,6.67211,8.43321,7.26034,9.54344,7.45868,7.46884,8.00587,7.51189,6.23741,2.77595,4.74622,11.2528,12.1409,4.74622,8.69715,9.58712,4.43111,5.8662,3.89584,3.64478
COL3A1,13.8388,12.1968,11.3255,12.8274,13.7952,15.9328,15.8027,14.3285,15.2334,0.113644,3.05618,16.5074,12.4655,10.8012,5.94294,11.3547,7.30561,5.3649,2.16272,3.82218,0.113644,2.16272,0.113644,0.113644,11.3993,4.67269,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,13.5785,14.0304,13.9282,3.39116,1.81287,3.28517,15.7616,11.2953,16.6677,15.1425,14.553,6.42264,1.20968,9.07179,5.70924,9.85522,0.113644,2.16272,2.79669,4.80976,8.25667,3.56825,5.69219,8.18352,7.00698,3.64478,3.33816,1.81287,11.3984,11.0789,5.67402,7.43559,8.75299,3.28517,3.28517,3.9543,3.86401
COL8A2,9.93873,4.59911,5.13028,4.77752,6.45202,6.54968,8.0003,6.57844,9.78743,0.113644,1.81287,6.27464,2.92457,3.56825,3.48123,5.19622,2.41968,6.27464,1.20968,4.88649,0.113644,0.113644,7.38969,6.74061,4.93037,5.91042,5.23546,1.81287,7.73736,2.99037,2.41968,3.28517,1.81287,2.16272,0.113644,6.93534,5.96743,9.383,3.39116,5.22167,4.84279,8.48608,3.56825,6.68963,5.811,4.11061,8.10195,7.00978,4.67374,4.80976,4.80976,3.9543,3.70787,1.81287,1.81287,4.89983,0.113644,2.16272,2.41968,2.41968,2.92457,1.81287,4.00388,3.39116,5.31558,2.77595,3.22943,2.16272,5.12981,0.113644,1.81287,1.81287
CSF1,10.2605,8.17413,8.32741,7.69953,9.04138,9.7965,9.67904,8.57341,9.32627,3.52474,4.38682,9.99958,7.60901,7.98584,6.71195,6.09336,8.69269,6.46517,3.73874,8.35092,3.1737,0.113644,10.3423,10.6512,9.21043,7.82916,8.64078,4.31312,3.52474,8.72582,7.92253,5.0206,5.37571,7.59665,0.113644,8.22132,9.06331,8.0262,7.90503,6.09783,6.18762,10.8533,7.47443,9.41696,10.6552,8.83547,10.1061,6.16133,7.06177,8.0758,8.71085,6.83068,4.87314,7.81963,4.47438,8.79224,3.89584,5.15699,7.65305,4.19301,8.3629,8.25696,6.07935,7.62683,7.29984,6.85317,4.94657,5.27315,9.59322,2.77595,6.88558,5.7324
CTSB,13.4987,12.9937,12.9668,11.9613,13.0184,13.1266,13.6769,13.1021,12.8134,10.5548,12.0705,13.5598,12.21,13.2031,12.4246,12.2996,13.588,11.9915,10.7357,11.2474,12.0498,11.8517,16.2471,15.5435,14.0809,13.6165,12.1207,10.049,13.2113,10.7373,11.0036,10.062,9.56537,10.5272,10.362,12.956,13.4468,13.0617,14.2458,12.6349,12.5558,13.8901,11.3229,13.2437,13.2438,12.6588,12.9203,10.6322,11.8986,12.4655,12.5273,12.1158,11.502,10.4282,12.3067,12.0091,10.923,10.8621,10.9973,11.2661,12.2233,12.0136,13.3373,13.7084,12.3168,11.3186,12.385,9.9103,12.4391,11.6921,11.782,11.3477
CTSL,11.2996,10.929,10.5534,10.5798,11.0292,11.2146,10.815,10.8401,11.4136,4.00388,7.88845,11.2736,9.01157,11.3081,8.97262,9.15257,11.1157,9.74625,9.92306,9.29857,9.86149,10.4095,13.2369,11.2209,11.7145,10.2273,7.26034,3.9543,4.74482,3.83272,5.12981,4.89983,1.20968,4.99416,0.113644,10.3905,11.008,8.28801,11.2581,9.27797,9.84363,11.7249,9.54344,11.1648,10.9353,10.813,8.99533,7.11933,8.9081,9.42157,9.65078,8.25667,9.15856,7.5475,8.75087,9.14581,8.29646,8.32484,7.79648,8.64657,10.3327,11.6569,9.3222,10.423,10.2311,9.48566,10.0155,9.53912,9.80126,9.68221,9.6281,9.47327
CXCL1,5.39744,3.43619,2.61696,3.05618,2.77595,4.93037,5.89404,2.41968,3.05618,0.113644,3.67632,6.62962,3.48123,4.80976,4.84279,6.03712,5.5331,3.48123,3.86401,5.4616,1.20968,0.113644,9.00801,5.25971,7.36039,1.81287,7.4407,0.113644,0.661663,9.90836,0.113644,0.113644,0.113644,0.113644,0.113644,3.64478,4.38682,3.24641,6.45859,9.08243,7.37048,3.9543,1.20968,8.16377,9.9919,2.77595,1.81287,0.113644,3.11494,2.16272,2.41968,3.64478,1.20968,0.113644,1.20968,1.81287,0.113644,0.113644,0.113644,0.113644,6.09783,7.94854,11.0188,3.89324,3.28517,2.61696,5.48165,0.113644,9.58938,0.113644,2.92457,2.41968
CXCL12,11.3324,11.1328,10.4549,9.35141,10.3899,10.134,10.899,9.54794,6.61323,0.113644,2.41968,10.3971,8.64543,9.99084,5.31558,8.50301,5.07842,0.113644,4.13876,3.67502,0.113644,0.113644,3.89584,0.113644,7.19487,6.98284,0.113644,0.113644,1.51127,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,10.5612,10.2985,9.08446,4.08298,0.113644,0.113644,13.4987,10.5729,10.2107,11.7238,5.3649,8.05127,3.28517,6.26164,5.25971,5.90239,0.113644,4.26947,6.64518,2.41968,6.54968,4.80976,4.00388,3.56825,1.51127,1.20968,0.113644,0.113644,10.0719,7.0228,5.02256,3.52474,5.88569,5.12981,2.41968,6.04217,6.15395
