,Valve,Ventricle,Atrium,Heart,Adipose,Adipocyte,Osteoblast,Stromal cell,Chondrocyte,Bone marrow,Intestinal epithelial cell,Hepatic stellate cell,Small intestine,Liver,Colon,Colon mucosa,Hepatocyte,Esophagus,Beta cell,Gastric epithelial cell,Alpha cell,Pancreatic islet,Macrophage,Dendritic cell,Kupffer cell,Microglia,Neutrophil,Thymocyte,Plasmacytoid dendritic cell,Granulocyte,Spleen,Thymus,Blymphocyte,Tlymphocyte,Plasma cell,Skin,Fibroblast,Hair follicle,Melanocyte,Basal cell,Keratinocyte,Airway smooth muscle,Skeletal muscle,Vascular smooth muscle,Myofibroblast,Myoblast,Spinal cord,Cerebellum,Medulla,Thalamus,Hypothalamus,Pons,Retina,Cerebral cortex,Sensory neuron,Astrocyte,Motor neuron,Neuron,Oligodendrocyte,Midbrain,Lung,Lung epithelial cell,Trachea,Renal cortex,Ovary,Kidney,Granulosa,Testis,Podocyte,Oocyte,Breast,Mammary gland
NNMT,11.4253,8.67387,9.16631,9.9314,11.0944,11.3582,11.5078,11.2469,12.0637,0.113644,0.113644,11.2038,7.06978,11.3918,3.64478,3.62542,10.8555,8.35063,1.81287,7.66743,4.47438,5.5331,1.20968,0.113644,10.7442,3.83218,0.113644,0.113644,1.20968,1.81287,1.81287,1.20968,0.113644,1.20968,0.113644,9.35141,10.3159,7.78873,5.15597,2.69645,4.21911,11.3273,7.78223,11.3801,11.323,12.1838,4.63537,2.16272,6.48802,3.05618,3.89584,1.81287,2.92457,2.16272,2.77595,7.18296,2.77595,2.61696,3.28517,0.661663,7.79648,10.3661,2.77595,7.4921,7.55196,2.16272,6.00751,1.81287,11.4735,3.83218,5.25971,2.51832
NRP1,11.5006,11.6239,10.9214,10.7593,11.3869,11.8773,11.7514,11.5298,10.4356,7.08465,7.33108,12.0226,10.3304,10.3793,8.47702,9.4516,9.40874,10.1791,8.70774,9.23752,9.59891,9.56961,11.7639,11.6635,10.7845,11.2563,6.35023,7.23213,11.1612,7.07337,6.58321,7.32318,5.95955,5.91845,7.16833,10.6799,11.643,10.6017,6.32563,10.1679,9.24262,11.934,10.716,12.2698,11.4574,11.2423,9.0002,8.00587,10.6939,8.57799,9.02325,7.94077,8.52491,10.1127,10.4592,10.4633,10.2838,9.44814,8.64827,9.35443,10.3304,12.162,8.97815,11.9641,9.80028,10.0981,9.16862,8.41459,11.3311,7.04658,10.0514,10.0357
NRP2,9.84703,7.40086,7.23553,8.26448,10.1103,10.6807,10.7119,9.88129,10.7142,4.38682,4.40897,10.8766,9.2176,8.00587,7.23871,9.87213,7.08465,9.07382,7.10136,6.52877,6.59685,6.65623,11.5671,11.1457,9.19911,9.91698,4.67269,3.39116,4.29129,3.73874,5.10633,4.08298,5.76354,4.3519,4.11061,8.8032,9.50235,11.1811,11.6168,10.1884,9.06946,10.1686,6.8903,10.5397,10.804,7.96808,9.90969,4.93037,8.78045,10.4326,10.4616,6.47324,7.68261,8.54703,9.53006,10.8467,9.7299,10.0519,10.4771,9.89018,9.60298,9.83452,9.78113,8.67127,9.55427,7.72768,6.94077,7.00491,11.3859,5.72615,6.8903,5.484
OLFML2B,10.116,5.31558,5.44176,5.5514,7.50248,7.04658,8.92655,7.0808,8.75325,0.113644,0.113644,5.74381,4.67269,4.38682,4.56034,4.55719,3.48123,2.16272,1.20968,3.31939,0.113644,0.113644,9.17908,4.80976,5.22264,8.51653,3.64478,0.113644,2.2912,2.16272,0.113644,1.20968,0.113644,0.113644,0.113644,6.83834,6.38743,8.09288,6.21338,1.81287,1.81287,6.95675,7.37048,6.09783,7.10353,9.84827,5.10633,1.20968,4.94699,4.21911,5.47412,3.56825,2.92457,4.47438,5.76006,6.28742,3.56825,4.51527,5.72615,2.41968,3.89584,3.9543,0.113644,4.26947,5.38651,4.21911,4.91796,6.13094,6.3224,2.16272,2.16272,2.16272
OLFML3,10.7464,8.16537,7.69997,8.87813,8.71085,10.0053,10.6497,10.5459,9.42884,0.113644,1.81287,10.8766,7.78955,7.16288,5.72615,8.59194,5.07842,8.18352,2.41968,4.72917,0.113644,0.113644,5.3649,4.38682,5.79972,9.64377,1.81287,2.16272,1.20968,2.41968,1.20968,1.9878,0.113644,1.20968,0.113644,8.94859,10.1032,8.91033,5.15699,3.1737,5.12981,11.3167,7.29945,10.0123,10.5594,10.9732,6.09783,1.81287,3.70719,5.31558,5.93591,1.81287,2.41968,2.92457,3.9543,5.15699,2.92457,3.39116,2.92457,3.22943,4.84279,6.28742,3.05618,6.17447,6.85776,3.05618,2.69645,3.48123,5.10633,0.113644,4.51527,5.11807
PDCD1LG2,7.48852,4.63537,4.21911,5.20789,4.63537,5.65482,7.97777,7.90215,4.71212,0.113644,0.113644,7.85883,1.81287,3.70787,1.20968,1.51127,2.41968,2.41968,0.113644,3.11511,0.113644,0.113644,7.54934,8.98773,6.67586,2.41968,3.56825,0.113644,2.16272,3.39116,2.16272,2.16272,3.56825,3.64478,0.113644,5.51459,7.55317,4.49832,3.92507,4.56034,6.68963,7.82186,4.84279,6.9754,7.38198,6.53965,3.28517,2.16272,3.11494,1.81287,1.81287,2.61696,1.20968,2.21491,0.113644,4.56034,0.113644,0.113644,2.16272,0.113644,3.39116,1.81287,4.11061,1.81287,1.81287,1.20968,0.113644,0.113644,6.89949,0.113644,2.41968,1.81287
PDGFRA,10.6549,9.86693,9.00656,10.3869,10.164,11.3556,11.5626,11.8033,12.4705,2.41968,3.39116,12.1812,9.11166,8.4817,5.40837,8.89467,5.61397,4.84279,3.05618,3.33816,3.05618,0.113644,5.70924,4.05534,9.02953,4.56034,2.41968,2.77595,2.16272,3.63806,2.77595,3.39116,2.16272,2.16272,0.113644,10.041,11.3373,10.1274,3.80089,2.92457,2.92457,13.4726,9.14581,11.8595,11.5446,5.99799,9.96254,7.88609,5.10411,8.87207,8.61253,3.05618,6.9462,7.83795,3.89584,7.51341,3.76961,4.89983,3.76961,3.52474,4.00388,2.41968,3.1737,10.0601,7.49885,4.63537,7.01425,7.37922,2.61696,5.45333,2.61696,2.41968
PDGFRB,12.193,10.7803,10.2659,9.84363,10.9543,12.0918,12.3378,11.2751,11.3192,0.113644,1.81287,12.5307,9.58247,7.88005,6.38743,8.04349,6.9754,4.51527,2.16272,5.51655,0.113644,0.113644,4.26947,3.1737,9.54504,4.05534,4.31312,1.20968,3.1737,1.51127,3.83218,3.05618,4.08298,3.39116,0.113644,10.2707,10.8979,10.6606,4.13876,1.20968,2.16272,13.2165,10.1773,11.1631,11.9372,9.18625,9.04138,7.10985,5.64892,8.97562,10.0208,4.89983,8.64827,8.46145,5.45333,8.88994,2.92457,6.30103,8.01158,5.38652,3.1737,2.16272,0.113644,10.9346,8.55531,4.29129,6.24302,6.9754,6.60849,3.05618,2.61696,1.81287
PLAU,7.45757,7.35721,5.83448,7.04658,7.46884,8.19977,10.0817,9.73021,7.81863,2.41968,6.202,9.45371,5.84343,5.10633,7.7319,8.28152,4.21911,7.68261,0.113644,9.52227,0.113644,0.113644,10.2673,9.88733,6.5455,7.78223,5.49388,0.113644,6.91742,7.22228,4.51527,2.41968,5.15699,4.89983,0.113644,8.74315,8.89763,7.49748,3.39116,10.1519,12.3452,9.31175,7.59665,8.66182,9.88391,11.0327,4.26947,0.113644,7.54303,3.48123,3.89584,4.63537,2.41968,3.22943,3.28517,8.2838,2.92457,3.48123,4.16691,1.81287,9.84671,10.0547,10.9505,8.46699,7.33108,5.51459,2.99037,2.69645,11.9981,2.61696,7.50607,6.4358
PLPP3,11.1366,11.2622,10.3245,10.2491,11.5918,11.2486,10.8139,9.89921,10.7138,4.49483,7.41137,9.26011,8.7669,10.4747,8.30029,8.71158,9.90455,8.66986,6.37066,7.05494,4.84279,6.4358,8.57032,9.06713,10.7646,6.6835,4.51527,6.35023,2.92457,5.4302,4.21911,6.64699,4.6924,2.92457,2.16272,10.0919,10.1549,9.56639,6.62962,7.52411,5.74381,13.9155,9.57864,9.75152,9.90836,9.66289,11.0757,9.5765,10.3978,10.8967,10.9053,5.57065,9.01669,9.46902,2.61696,9.72045,6.75783,8.47702,9.86537,8.86348,8.40872,8.03109,7.37048,11.5009,8.25741,7.78223,6.27387,8.3443,6.93534,5.3649,7.4111,7.1528
PMP22,11.8341,11.3339,10.8691,10.9708,10.5123,10.8533,10.0024,9.69981,11.845,0.113644,9.5157,9.53006,8.4413,7.05535,8.30694,8.75771,5.95167,7.59665,1.20968,7.39202,0.113644,0.113644,9.86149,8.45606,6.57209,9.27507,4.67269,0.113644,8.63873,5.35105,1.20968,1.20968,0.113644,2.16272,0.113644,10.2107,9.92094,10.1813,10.8024,3.56825,4.89983,11.9709,9.56277,10.0945,9.89742,9.18625,11.1392,7.49889,8.16752,10.4306,10.2307,4.00388,7.12679,7.25144,9.5331,9.79901,4.43111,6.30103,9.22919,6.35023,8.33578,10.3571,3.1737,7.16901,8.35639,7.10985,7.86685,7.12139,6.58321,6.2249,7.58896,7.82526
POSTN,12.565,10.4559,8.48719,10.4729,10.6913,11.9915,14.6805,12.9992,10.5931,0.113644,0.113644,12.2531,5.45333,5.20789,3.39116,7.10473,3.76961,0.113644,0.113644,2.29401,0.113644,0.113644,0.113644,0.113644,8.18077,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,10.6119,10.1549,12.7528,2.16272,7.83422,5.07842,12.1607,5.74381,12.5927,9.61612,10.2332,2.16272,0.113644,8.148,4.16691,5.18213,0.113644,1.81287,1.81287,3.39116,5.7726,0.113644,3.28517,4.05534,2.41968,1.20968,0.113644,7.50607,9.07477,5.19501,2.16272,2.77595,2.41968,4.51527,2.92457,0.113644,0.113644
PTX3,7.41588,4.93037,3.73874,7.89585,3.56825,10.9689,12.1576,9.42945,9.48497,0.113644,0.113644,11.739,1.81287,2.16272,2.41968,3.88675,3.1737,2.16272,1.20968,4.20486,0.113644,0.113644,7.66804,5.88569,7.9544,3.64478,5.31558,0.113644,2.51832,4.31312,0.113644,2.41968,0.113644,1.20968,0.113644,4.84279,9.83515,3.05618,4.40897,1.81287,3.39116,11.1512,2.16272,10.3836,10.8082,9.27797,1.20968,1.81287,2.85026,2.16272,2.41968,3.56825,3.05618,7.47945,3.89584,7.30561,4.16691,5.59303,7.63847,5.44176,3.76961,1.81287,2.16272,3.77002,3.86401,3.9543,4.75774,1.20968,6.2249,0.113644,1.81287,2.16272
PXDC1,10.1078,8.37793,7.93467,8.85952,9.61169,9.96159,10.3081,9.66947,9.67035,0.113644,9.4071,9.78515,6.74061,10.1316,6.01703,7.49315,10.3565,7.91821,4.57973,9.80535,0.113644,0.113644,9.22023,9.21084,10.3353,9.00801,4.74622,0.113644,3.28517,5.11544,2.92457,1.81287,0.113644,3.28517,0.113644,8.90451,9.48878,8.88014,8.78718,8.39705,8.72465,9.67781,7.19032,9.66068,9.66301,8.77715,8.4817,4.16691,7.64019,8.75087,9.12937,5.31558,4.82627,7.17697,4.43111,8.40872,3.89584,5.59303,8.11752,5.51459,7.72768,6.60849,8.64827,8.10479,7.74633,6.82306,7.09456,4.67269,9.17122,5.12981,6.52893,6.74496
RAB7B,0.113644,4.74622,5.27315,4.67269,8.11293,6.86236,6.20084,6.08859,5.89233,0.113644,1.9878,6.30103,3.76961,3.28517,3.48123,3.33816,4.56034,5.28658,0.113644,6.4442,0.113644,0.113644,9.69301,9.61646,7.49469,2.92457,2.92457,0.113644,4.93037,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.44713,5.96743,6.9754,4.40897,7.74646,8.12929,8.02584,5.12981,6.88087,6.76763,4.96278,4.26947,0.113644,2.77595,3.28517,3.1737,2.16272,2.92457,3.11494,2.41968,4.31312,0.113644,1.81287,2.61696,2.2912,3.05618,1.81287,7.54135,1.51127,3.70787,2.41968,4.53675,0.113644,4.00388,0.113644,3.64478,3.76961
RGL1,10.2038,9.32584,8.86876,8.84753,9.34648,9.1361,8.4916,8.61122,8.41459,0.113644,7.37872,9.13826,8.74681,8.18352,6.8453,8.16328,8.04272,6.31418,8.74658,6.64724,7.00978,0.113644,10.7044,10.3793,9.02399,9.64027,5.93591,4.93037,6.96517,5.44176,5.31558,4.79364,7.27465,6.26032,0.113644,8.33964,8.59651,8.3838,7.73372,6.00751,5.70924,9.50903,6.86236,9.73955,9.15338,6.66685,10.077,9.51089,7.70227,9.17601,9.30245,6.31418,9.10281,9.84377,9.04138,9.45601,7.60901,8.51328,9.23137,8.17347,6.78736,6.45048,6.61965,9.96255,7.97068,6.97055,8.40468,8.0009,8.23044,5.88569,5.67402,6.12376
RIN2,10.7872,9.6663,9.13314,9.43823,8.70389,8.97262,8.90075,9.94279,9.25833,8.21748,9.41804,9.14581,9.07876,7.80811,8.47702,8.42014,7.02366,9.22701,9.37109,8.63649,11.6819,11.348,10.3604,9.7182,7.48545,10.2354,7.56734,5.23546,6.27464,5.98271,4.99416,5.64397,4.87314,3.56825,7.557,9.88733,9.55746,8.99465,5.20789,9.33719,9.98229,9.52562,8.40585,8.92875,9.33365,9.88286,9.92253,7.73525,8.71888,8.34797,8.12929,9.00523,8.51888,7.08465,5.47412,8.24738,7.9143,7.65906,8.17054,7.42671,9.32958,9.69825,9.87999,9.68966,9.53158,8.16716,10.1233,7.77005,9.32958,9.21322,8.04956,8.3119
RNASE1,12.5434,11.1736,10.5953,7.01742,11.9677,0.113644,0.113644,0.113644,0.113644,0.113644,9.18744,0.113644,8.6516,7.48062,6.53429,6.33187,5.20789,4.43111,1.81287,5.85348,0.113644,0.113644,10.3487,10.5025,7.98194,7.94665,3.1737,0.113644,5.78326,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,3.60651,0.113644,0.113644,9.23839,3.05618,0.113644,0.113644,9.14581,4.3519,2.77076,8.21284,8.03109,2.41968,3.1737,1.9878,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,2.61696,1.81287,4.67269,9.3736,8.79188,1.20968,6.55607,5.44176,0.113644,3.39116,1.20968,1.20968
SDC2,11.2525,10.1472,9.47298,10.1053,10.9015,11.3367,11.2063,10.457,11.7857,0.113644,2.69645,10.0352,9.88286,11.3826,7.06978,9.3197,11.0198,3.48123,9.9323,7.14317,10.6198,9.68221,11.1328,11.5886,11.0866,9.27163,5.5331,0.113644,3.28517,7.84796,1.20968,1.20968,0.113644,1.20968,0.113644,9.46706,10.2033,11.3736,7.73975,6.89949,4.93037,10.1662,8.70389,10.4496,10.25,9.148,8.9673,8.87207,8.23321,9.8983,10.1399,4.89983,8.90693,7.94553,7.47443,10.3971,9.04961,9.69695,10.0643,10.2765,6.72289,5.98271,6.39847,9.39267,9.13985,9.57553,9.20529,8.72108,10.6637,8.43472,7.79302,7.64908
SERPINE1,12.0306,8.32557,8.6623,10.6394,7.22182,11.6586,14.9608,13.6565,11.7631,5.04875,5.4302,15.2572,6.53965,11.1041,6.45202,8.06646,11.9613,8.59108,3.64478,8.72723,5.10633,7.40438,8.82663,7.59665,12.9495,7.44391,4.56034,4.74622,3.9543,4.00388,5.10633,4.33251,4.31312,3.76961,1.20968,10.272,13.5692,6.53857,5.72653,10.7156,12.0361,11.5092,5.76006,14.4187,13.9347,13.3299,6.96122,3.28517,8.61549,5.02256,4.99416,4.84279,6.35023,3.85017,5.07842,9.60083,5.15699,4.87314,5.91845,2.61696,9.76423,11.4136,10.4095,7.8963,8.53106,4.72917,10.158,5.31558,13.8779,6.92548,7.38198,5.99223
SERPING1,13.2437,11.1594,11.5832,10.7083,11.1922,10.144,8.00799,8.77128,11.3002,7.33029,2.16272,9.47929,8.75978,13.3523,7.34809,7.37677,13.0382,8.56328,4.16486,4.10046,0.113644,6.93534,8.58424,6.79623,12.398,8.06116,8.19977,1.20968,9.12403,8.967,2.61696,4.05748,0.113644,0.113644,0.113644,9.43595,9.02752,10.0763,7.33108,6.52299,7.37647,13.3226,9.62186,9.18212,9.76411,5.15699,9.94746,6.28742,5.55381,9.20348,9.67781,6.53965,8.94069,7.50974,5.93591,7.7649,7.66804,7.41835,8.55418,7.54934,5.15699,2.61696,7.57242,10.4115,9.50907,6.9754,4.65403,6.8949,5.5331,2.16272,3.1737,2.16272
SPARC,15.1868,13.0785,12.5405,13.9026,15.4785,15.7616,16.3707,15.7616,15.0373,7.65305,3.43619,16.2471,12.6194,11.436,10.6435,12.4105,9.76423,9.42341,4.26612,7.92114,1.20968,6.99029,10.8185,7.49163,12.4048,9.15597,7.16288,4.71212,4.9313,6.60143,3.89584,6.18573,6.14541,4.51527,0.113644,13.9413,14.9608,13.4146,13.6565,8.12393,11.3684,14.4187,12.1863,16.2471,15.4785,15.5435,14.9256,12.0567,12.1428,15.0775,15.121,9.4696,11.9071,11.4525,8.60355,14.5779,10.747,11.8305,14.1126,11.9753,8.57341,4.65403,8.37638,12.1345,12.4705,10.5013,12.291,11.4633,14.5054,9.00294,4.84279,4.08298
SPP1,7.94793,6.81895,5.78558,5.04875,7.26685,4.47438,4.82533,3.83218,5.31558,0.113644,0.113644,3.56825,3.28517,8.31686,4.16691,4.98913,6.53965,0.113644,6.8182,1.13818,6.26032,8.956,13.5785,11.8773,7.53787,15.1868,5.23546,1.81287,1.81287,6.62761,1.81287,1.81287,0.113644,1.20968,0.113644,3.1737,4.21911,4.02961,7.94433,2.92457,1.81287,2.41968,0.113644,4.51527,3.60651,1.81287,13.8124,8.68785,8.17263,10.8833,10.3526,1.20968,11.4136,7.65319,5.61397,7.96808,6.99029,5.40837,8.05706,4.67269,6.4358,10.9746,2.16272,14.766,7.71739,5.31558,5.64397,2.16272,10.4112,2.41968,1.20968,0.113644
TCN2,9.70267,7.97014,7.06147,6.8903,8.956,7.04658,6.39295,5.76006,5.92718,1.20968,9.19562,7.54934,7.71533,7.14836,7.21464,7.74954,7.10985,4.99416,6.03355,5.41033,0.113644,0.113644,9.16713,8.22586,8.50715,6.27464,6.31418,1.20968,6.21948,2.41968,3.48123,2.92457,5.11807,1.81287,6.21406,5.93591,6.38743,5.66266,7.96411,5.34282,5.15699,7.66284,5.90239,6.52893,7.36331,5.99799,7.26034,3.56825,7.21123,6.58321,6.8453,6.07935,7.26034,5.9321,7.96365,7.11933,6.2249,6.66685,6.17424,6.81345,6.30103,6.73635,7.33897,10.5419,6.51689,6.18762,6.40441,6.39333,6.80572,5.47412,3.89584,3.76961
TGFBI,11.3915,10.2627,9.99846,10.2047,9.54449,12.4102,14.4187,13.7784,13.0814,0.113644,5.76781,15.2096,9.5376,10.9477,10.1012,10.3908,11.9508,10.5293,2.77595,9.99034,0.113644,0.113644,12.6933,13.383,13.2969,10.0907,10.5486,0.113644,13.5975,5.15423,5.4302,4.19301,1.81287,3.64478,0.113644,12.2179,13.6978,8.93339,6.36972,11.5968,12.2477,13.3908,8.97815,14.6277,14.264,14.654,8.67403,2.16272,7.70719,5.84343,7.11933,10.451,5.50423,3.77002,9.81703,9.87578,4.16691,4.26947,3.64478,2.41968,11.2657,12.4246,11.6718,9.40771,9.37667,7.31371,4.87131,4.51736,13.3299,2.77595,8.86348,8.47155
THBS1,13.203,10.9995,11.0604,11.8546,11.0253,14.3381,16.5074,15.3615,13.503,8.53994,11.0591,14.3002,10.6602,10.7397,9.8038,11.1626,10.5001,12.1038,7.90393,10.6375,8.13855,8.82663,9.97843,7.62734,11.6464,9.0026,8.73232,7.25523,6.21251,8.05766,7.96808,6.46472,5.4302,5.82639,7.51938,12.6349,15.2096,13.0113,8.88354,12.2895,14.553,14.9256,8.38924,14.3189,14.3191,15.1641,9.26447,6.95675,11.4788,6.78736,6.83068,9.54794,7.57088,10.7208,5.96743,10.923,8.14653,8.21284,9.60298,7.62119,11.0609,10.7062,11.9183,13.7459,11.5336,9.19439,11.285,9.40473,15.0775,8.73712,12.0941,13.23
THBS2,11.9069,9.255,8.91253,10.3869,10.3142,11.84,13.8419,12.5099,10.5595,0.113644,1.20968,13.4898,8.17054,6.68963,4.05534,6.71018,4.31312,4.3519,3.39116,3.97559,0.113644,0.113644,4.47438,3.1737,9.18337,4.67269,2.41968,1.20968,3.73874,1.20968,2.41968,2.16272,1.81287,2.16272,0.113644,11.3254,11.1626,12.7996,9.69984,3.83218,11.5732,12.7328,6.20187,13.2437,12.3789,8.68093,10.8094,5.65482,6.98284,9.11669,9.14276,3.64478,3.70787,8.16892,6.30103,8.47383,4.47438,6.36501,8.82663,7.95522,3.64478,2.77595,3.9543,7.83623,8.24022,3.70787,7.27465,4.40897,4.56034,7.29406,3.89584,3.1737
TIMP1,13.6925,9.99244,10.4497,11.9487,8.74129,12.1967,13.1609,12.574,13.6874,9.04138,8.13124,13.7729,10.2872,11.1479,10.0346,9.97547,10.2165,10.7693,10.3481,10.24,11.1571,11.9298,11.4763,10.1156,11.6521,7.9143,10.4306,5.18213,7.7248,9.92325,8.08888,6.85105,7.35038,7.80811,9.59891,11.1764,12.983,9.49347,11.1875,9.9635,9.7965,13.7513,7.58896,13.6263,13.4225,12.6194,8.0758,4.99416,10.9231,9.29509,9.66533,9.53006,8.43178,6.32801,8.35063,9.56017,8.27579,7.32318,7.92253,7.85002,10.4935,10.8445,11.5165,9.28398,9.7381,9.43571,11.6241,9.35509,9.98948,7.95029,10.034,9.53827
TIMP2,13.2612,11.4353,11.31,11.0885,12.3665,12.3391,13.8067,12.5984,13.1266,8.63669,9.03868,14.1286,10.7337,10.3142,10.355,11.164,8.70389,10.5722,10.1645,11.8514,7.28076,9.36558,12.3391,11.4883,11.7127,11.6541,11.071,9.81116,9.58366,10.3005,7.12679,10.0908,4.99267,6.58321,9.29509,12.1207,13.0668,12.3338,14.654,7.66355,8.8032,15.0775,10.1375,13.3986,13.9096,11.1528,12.6689,8.87813,10.2904,12.7414,12.9203,10.2439,10.7144,11.9064,12.6003,12.7814,10.7284,11.3613,12.3819,11.0213,10.8855,9.63196,8.29646,10.3395,11.2472,9.44466,11.2554,9.53994,12.0941,9.79396,10.3057,9.9436
TMEM26,2.2912,2.92457,1.81287,1.20968,2.92457,3.05618,4.26947,3.56825,5.6831,0.113644,1.20968,4.63537,3.05618,3.76961,1.81287,2.2912,1.20968,0.113644,0.113644,1.81287,0.113644,0.113644,4.43111,3.76961,3.76961,1.20968,0.113644,2.77595,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,1.20968,3.56825,3.1737,4.51527,0.113644,0.113644,5.23546,3.1737,2.77595,5.27315,2.92457,1.81287,0.113644,2.41968,2.61696,2.41968,0.113644,0.113644,1.20968,1.20968,3.1737,0.113644,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,4.84279,2.16272,1.20968,0.113644,1.20968,1.81287,0.113644,0.113644,1.20968
TNFAIP6,5.94294,5.18213,4.02961,6.63774,5.51459,6.63774,5.88569,5.95955,9.35137,0.113644,2.41968,8.13314,1.81287,1.20968,1.20968,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,8.90075,5.76006,6.03168,0.113644,9.03285,0.113644,1.81287,9.5094,0.113644,0.113644,0.113644,0.113644,0.113644,4.51527,5.59303,2.99037,4.77799,1.81287,1.20968,7.70435,3.83218,8.97262,6.62503,6.03426,1.20968,0.113644,1.20968,2.61696,2.41968,1.81287,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,1.81287,2.41968,0.113644,1.81287,1.20968,0.113644,2.92457,2.16272,3.28517,3.56825,0.113644,0.113644
TNS1,12.5333,13.5555,13.5467,10.4935,12.3212,11.9656,12.051,10.81,11.9736,7.68261,4.61724,12.2179,10.0028,10.5901,7.98143,7.61932,10.5067,8.14653,8.1023,7.66436,8.01158,8.79012,10.2241,9.40188,11.8147,7.70909,7.39734,6.09783,7.82367,5.63312,5.23546,5.62355,4.51527,4.21911,3.64478,10.8028,10.6799,11.9133,10.3684,8.01669,6.17424,11.9091,12.245,11.8165,11.401,11.3273,13.1641,9.6997,9.28819,9.85343,9.85343,7.53071,9.24767,8.75055,11.5732,9.1216,8.15151,7.67462,8.75087,8.72014,8.04272,6.66685,8.22586,13.5692,10.1038,7.97891,8.9327,8.57627,10.9623,6.41035,6.42264,6.33362
VCAM1,8.15515,6.53965,5.35105,6.23741,7.53683,7.40438,8.97701,4.96278,10.2267,0.113644,1.20968,7.85883,6.2249,8.12035,2.41968,7.09107,6.4358,0.113644,0.113644,0.113644,0.113644,0.113644,2.92457,4.74622,8.30998,2.41968,0.113644,1.20968,2.41968,0.113644,3.83218,1.20968,2.41968,2.77595,0.113644,4.47438,3.70787,4.43673,0.113644,0.113644,0.113644,7.26685,5.23546,5.40837,8.94238,5.8662,7.41137,2.16272,6.59585,6.35023,7.23213,1.81287,2.92457,6.32387,2.41968,7.35721,1.20968,3.64478,8.9972,3.92507,1.81287,0.113644,0.113644,10.7417,5.28658,3.05618,3.70787,1.81287,7.16288,1.81287,0.113644,0.113644
WISP1,6.20498,4.43111,4.61724,3.89584,2.16272,6.28742,7.58823,7.19032,8.34337,0.113644,3.05618,7.51341,3.56825,3.56825,1.81287,3.11494,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.53629,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.89584,5.02256,4.12387,3.52474,2.85026,1.20968,8.23044,2.61696,8.06575,6.65349,2.16272,2.41968,0.113644,2.92457,2.16272,2.16272,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,1.20968,6.95675,4.08298,0.113644,2.41968,1.20968,2.16272,0.113644,0.113644,0.113644
